Report_Number,Date_Reported,City,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Case_Closed,DateTime_of_Occurrence
1,2020-02-01,1,11,16.0,1,0,0,2020-01-01 01:11:00
2,2020-01-01,4,10,37.0,1,5,0,2020-02-01 06:26:00
3,2020-02-01,15,13,48.0,0,0,0,2020-03-01 14:30:00
4,2020-01-01,21,2,49.0,0,2,1,2020-04-01 14:46:00
5,2020-01-01,21,19,30.0,0,4,1,2020-05-01 16:51:00
6,2020-02-01,5,1,16.0,1,2,1,2020-06-01 17:09:00
7,2020-01-01,4,20,64.0,0,3,1,2020-07-01 14:08:00
8,2020-02-01,4,3,78.0,1,3,0,2020-08-01 06:33:00
9,2020-04-01,17,7,41.0,0,0,0,2020-09-01 06:34:00
10,2020-03-01,4,14,29.0,1,3,0,2020-10-01 17:50:00
11,2020-02-01,5,9,71.0,1,1,1,2020-11-01 19:42:00
12,2020-03-01,24,11,26.0,1,5,0,2020-12-01 22:16:00
13,2020-01-01,28,9,36.0,0,5,1,
16,2020-02-01,13,3,51.0,0,1,1,
17,2020-03-01,7,6,61.0,1,5,0,
18,2020-04-01,21,0,64.0,0,4,0,
20,2020-03-01,2,7,62.0,0,0,1,
21,2020-03-01,8,18,50.0,0,5,1,
22,2020-03-01,17,19,64.0,0,4,1,
23,2020-02-01,10,17,69.0,0,0,0,
24,2020-03-01,4,19,77.0,0,4,0,
25,2020-03-01,2,6,18.0,0,4,0,
26,2020-02-01,10,1,60.0,1,2,1,
27,2020-02-01,21,11,49.0,1,0,0,
29,2020-04-01,2,19,33.0,0,1,0,
31,2020-03-01,3,10,32.0,0,1,0,
32,2020-04-01,8,19,60.0,1,3,1,2020-01-02 15:05:00
33,2020-03-01,5,12,73.0,0,3,0,2020-02-02 03:01:00
34,2020-05-01,20,20,24.0,0,1,0,2020-03-02 02:40:00
35,2020-04-01,12,19,34.0,0,4,0,2020-04-02 22:18:00
36,2020-04-01,4,3,32.0,0,0,0,2020-05-02 17:48:00
37,2020-03-01,14,16,33.0,0,0,1,2020-06-02 00:18:00
38,2020-04-01,26,17,22.0,0,1,0,2020-07-02 18:04:00
40,2020-03-01,17,9,69.0,0,1,1,2020-09-02 14:05:00
41,2020-05-01,28,10,28.0,0,2,0,2020-10-02 01:51:00
42,2020-03-01,24,12,42.0,1,0,0,2020-11-02 11:09:00
43,2020-03-01,5,8,40.0,1,5,1,2020-12-02 09:30:00
44,2020-04-01,17,16,44.0,1,4,0,
45,2020-05-01,13,0,44.0,0,0,1,
46,2020-04-01,20,6,67.0,1,3,0,
48,2020-05-01,14,8,38.0,0,0,1,
49,2020-05-01,10,12,77.0,0,2,0,
50,2020-03-01,8,6,37.0,0,0,0,
51,2020-03-01,18,2,54.0,0,4,1,
52,2020-05-01,13,2,38.0,0,0,1,
53,2020-05-01,7,14,29.0,1,5,1,
54,2020-05-01,5,2,75.0,1,1,0,
55,2020-06-01,21,8,61.0,0,5,0,
57,2020-06-01,12,16,67.0,0,2,1,
59,2020-04-01,4,18,75.0,0,0,0,
60,2020-05-01,25,17,53.0,0,4,1,
61,2020-03-01,17,17,16.0,1,5,0,2020-01-03 15:04:00
62,2020-05-01,24,6,30.0,1,1,1,2020-02-03 03:32:00
63,2020-03-01,4,9,56.0,1,1,1,2020-03-03 09:27:00
64,2020-06-01,25,12,19.0,0,0,1,2020-04-03 23:24:00
65,2020-05-01,28,6,58.0,0,1,0,2020-05-03 00:59:00
66,2020-06-01,14,7,45.0,0,4,1,2020-06-03 11:49:00
68,2020-04-01,28,2,22.0,1,3,1,2020-08-03 08:46:00
69,2020-06-01,8,14,59.0,0,1,1,2020-09-03 02:24:00
70,2020-06-01,28,8,31.0,0,2,0,2020-10-03 17:23:00
71,2020-06-01,13,8,58.0,0,5,0,2020-11-03 00:50:00
72,2020-05-01,18,0,53.0,0,3,1,2020-12-03 11:34:00
73,2020-05-01,14,2,35.0,0,0,0,
74,2020-06-01,4,0,36.0,1,2,1,
75,2020-05-01,1,4,70.0,0,3,0,
76,2020-06-01,5,19,52.0,1,1,1,
77,2020-04-01,17,13,25.0,0,1,0,
78,2020-05-01,9,11,58.0,0,3,1,
79,2020-05-01,17,15,39.0,0,5,0,
81,2020-05-01,5,1,61.0,0,3,1,
82,2020-06-01,10,9,16.0,0,1,0,
83,2020-06-01,17,15,25.0,0,2,1,
84,2020-04-01,13,18,72.0,0,0,1,
85,2020-05-01,14,14,48.0,1,2,0,
86,2020-06-01,17,19,22.0,1,4,1,
87,2020-07-01,14,14,30.0,0,2,1,
88,2020-07-01,22,15,11.0,0,2,0,
89,2020-06-01,17,10,16.0,0,3,0,
90,2020-06-01,8,20,73.0,0,0,0,
91,2020-05-01,13,2,72.0,0,5,0,
94,2020-06-01,17,16,42.0,0,2,0,2020-03-04 08:12:00
95,2020-06-01,27,14,10.0,1,2,0,2020-04-04 22:16:00
96,2020-06-01,8,6,51.0,0,0,0,2020-05-04 14:10:00
97,2020-06-01,18,11,26.0,0,1,1,2020-06-04 15:36:00
98,2020-06-01,13,16,71.0,1,0,0,2020-07-04 02:56:00
99,2020-06-01,8,11,74.0,0,1,1,2020-08-04 14:38:00
100,2020-06-01,8,6,13.0,0,4,1,2020-09-04 06:41:00
101,2020-06-01,1,14,50.0,0,3,1,2020-10-04 14:02:00
102,2020-05-01,17,7,69.0,0,1,0,2020-11-04 22:34:00
103,2020-07-01,12,1,34.0,0,4,0,2020-12-04 17:43:00
104,2020-07-01,17,20,38.0,0,5,1,
105,2020-06-01,14,9,44.0,0,0,0,
107,2020-05-01,14,5,12.0,0,0,0,
108,2020-07-01,2,0,21.0,0,5,1,
109,2020-07-01,4,14,55.0,0,0,0,
110,2020-05-01,5,0,15.0,0,4,0,
