Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Weapon Used,Case Closed,Risk
1,2/1/2020,1/1/2020,1:11:00,Ahmedabad,IDENTITY THEFT,16,M,Blunt Object,No,Low
2,1/1/2020,2/1/2020,6:26:00,Chennai,HOMICIDE,37,M,Poison,No,High
3,2/1/2020,3/1/2020,14:30:00,Ludhiana,KIDNAPPING,48,F,Blunt Object,No,High
4,1/1/2020,4/1/2020,14:46:00,Pune,BURGLARY,49,F,Firearm,Yes,High
5,1/1/2020,5/1/2020,16:51:00,Pune,VANDALISM,30,F,Other,Yes,Low
6,2/1/2020,6/1/2020,17:09:00,Delhi,ASSAULT,16,M,Firearm,Yes,High
7,1/1/2020,7/1/2020,14:08:00,Chennai,VEHICLE - STOLEN,64,F,Knife,Yes,Medium
8,2/1/2020,8/1/2020,6:33:00,Chennai,COUNTERFEITING,78,M,Knife,No,Medium
9,4/1/2020,9/1/2020,6:34:00,Mumbai,EXTORTION,41,F,Blunt Object,No,Medium
10,3/1/2020,10/1/2020,17:50:00,Chennai,PUBLIC INTOXICATION,29,M,Knife,No,Medium
11,2/1/2020,11/1/2020,19:42:00,Delhi,FRAUD,71,M,Explosives,Yes,High
12,3/1/2020,12/1/2020,22:16:00,Surat,IDENTITY THEFT,26,M,Poison,No,Medium
13,1/1/2020,13-01-2020,23:14:00,Visakhapatnam,FRAUD,36,F,Poison,Yes,Medium
14,2/1/2020,14-01-2020,17:46:00,Mumbai,ASSAULT,32,M,,No,High
15,2/1/2020,15-01-2020,22:28:00,Bangalore,SEXUAL ASSAULT,77,F,,No,Low
16,2/1/2020,16-01-2020,18:54:00,Kolkata,COUNTERFEITING,51,F,Explosives,Yes,High
17,3/1/2020,17-01-2020,2:57:00,Ghaziabad,DRUG OFFENSE,61,M,Poison,No,Medium
18,4/1/2020,18-01-2020,23:09:00,Pune,ARSON,64,F,Other,No,Low
19,2/1/2020,19-01-2020,10:42:00,Bangalore,CYBERCRIME,11,M,,Yes,Low
20,3/1/2020,20-01-2020,18:02:00,Bangalore,EXTORTION,62,F,Blunt Object,Yes,Medium
21,3/1/2020,21-01-2020,2:33:00,Hyderabad,TRAFFIC VIOLATION,50,F,Poison,Yes,Medium
22,3/1/2020,22-01-2020,10:11:00,Mumbai,VANDALISM,64,F,Other,Yes,Low
23,2/1/2020,23-01-2020,22:03:00,Jaipur,SHOPLIFTING,69,F,Blunt Object,No,Low
24,3/1/2020,24-01-2020,23:40:00,Chennai,VANDALISM,77,F,Other,No,Low
25,3/1/2020,25-01-2020,20:47:00,Bangalore,DRUG OFFENSE,18,F,Other,No,Low
26,2/1/2020,26-01-2020,8:21:00,Jaipur,ASSAULT,60,M,Firearm,Yes,High
27,2/1/2020,27-01-2020,4:02:00,Pune,IDENTITY THEFT,49,M,Blunt Object,No,Low
28,2/1/2020,28-01-2020,20:11:00,Lucknow,PUBLIC INTOXICATION,41,F,,No,Low
29,4/1/2020,29-01-2020,19:56:00,Bangalore,VANDALISM,33,F,Explosives,No,High
30,4/1/2020,30-01-2020,9:35:00,Bhopal,BURGLARY,37,F,,No,Medium
31,3/1/2020,31-01-2020,13:06:00,Bhopal,HOMICIDE,32,F,Explosives,No,High
32,4/1/2020,1/2/2020,15:05:00,Hyderabad,VANDALISM,60,M,Knife,Yes,Medium
33,3/1/2020,2/2/2020,3:01:00,Delhi,ILLEGAL POSSESSION,73,F,Knife,No,Medium
34,5/1/2020,3/2/2020,2:40:00,Patna,VEHICLE - STOLEN,24,F,Explosives,No,High
35,4/1/2020,4/2/2020,22:18:00,Kanpur,VANDALISM,34,F,Other,No,Low
36,4/1/2020,5/2/2020,17:48:00,Chennai,COUNTERFEITING,32,F,Blunt Object,No,Low
37,3/1/2020,6/2/2020,0:18:00,Lucknow,SEXUAL ASSAULT,33,F,Blunt Object,Yes,Low
38,4/1/2020,7/2/2020,18:04:00,Varanasi,SHOPLIFTING,22,F,Explosives,No,High
39,3/1/2020,8/2/2020,21:24:00,Surat,VEHICLE - STOLEN,32,F,,Yes,Low
40,3/1/2020,9/2/2020,14:05:00,Mumbai,FRAUD,69,F,Explosives,Yes,High
41,5/1/2020,10/2/2020,1:51:00,Visakhapatnam,HOMICIDE,28,F,Firearm,No,High
42,3/1/2020,11/2/2020,11:09:00,Surat,ILLEGAL POSSESSION,42,M,Blunt Object,No,Low
43,3/1/2020,12/2/2020,9:30:00,Delhi,FIREARM OFFENSE,40,M,Poison,Yes,Medium
44,4/1/2020,13-02-2020,8:34:00,Mumbai,SEXUAL ASSAULT,44,M,Other,No,Low
45,5/1/2020,14-02-2020,6:22:00,Kolkata,ARSON,44,F,Blunt Object,Yes,Low
46,4/1/2020,15-02-2020,9:02:00,Patna,DRUG OFFENSE,67,M,Knife,No,Medium
47,5/1/2020,16-02-2020,9:55:00,Delhi,ROBBERY,47,F,,No,Low
48,5/1/2020,17-02-2020,3:42:00,Lucknow,FIREARM OFFENSE,38,F,Blunt Object,Yes,Low
49,5/1/2020,18-02-2020,2:59:00,Jaipur,ILLEGAL POSSESSION,77,F,Firearm,No,High
50,3/1/2020,19-02-2020,6:06:00,Hyderabad,DRUG OFFENSE,37,F,Blunt Object,No,Low
